Startup Name,Impact Statement,Description,Website,Primary SDG,Additional SDGs,Type of Innovation,Target(s),Indicator(s),Direct / Indirect Impact,Industry,Focus Area,Business Model,Customer,Location of Impact,Circular Value Chain,Maturity (new),Funded,Funding Round,Funding amount ($),Funding category,Last funding date,Country Cat. / Market,Country,City,Founded,Employees,Logo,Deadpooled,Investor,No Tracxn,Orange?,Source,Complete,Checked,Relevance,To Include,Hero,Comments,Year Score (0.4),Funding Score (0.6),Employee Score (0),Total Score,Maturity,0.4,0.6,0,Text to no.conversion,Logo,Seeking funding,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,,
Adili Africa,Empower marginalised artisans,"Adili Africa works with women and youth  artisans  from marginalized areas  e.g kibera, rural Kenya. We provide decent work and economic growth for people living below the poverty line.We are keen to offer gender  equality to women artisans at Adili ",http://www.adiliafrica.com/,SDG 8: Decent Work and Economic Growth,,,,,,,,,,,,Nascent,No,Unfunded,Not Applicable,,,,Kenya,,2019,21,,,,,,https://1millionstartups.com/search-front.php,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0.5,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Advanced Aerobic Technology Sweden,"A2T’s mission is to supply; spread and develop products and knowledge about a new generation of sewage treatment; with a direct affect on the majority of FN’s sustainability goals. A2T's vision is to be a leading global marketeer of economical sewage systems where waste water treatment, recycling of nutrients with energy recovery- and water-saving technology is the focus.","We're a Swedish company, focused on clean water and sanitisation on a global scale",http://www.a2t.se/en,SDG 6: Clean Water and Sanitation,,,,,,Energy & Materials,Resource recovery,,B2B,Developed Markets; Emerging Markets; Frontier Markets,,Nascent,No,Unfunded,Not Applicable,,,,Sweden,Eskilstuna,2016,Unknown,,,,,,,TRUE,FALSE,,FALSE,FALSE,website not opening,0.5,0,1,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Aeromon Oy,Emissions are harmful and hard to detect. Aeromon provides a solution to find and report them today.,,http://www.aeromon.fi,SDG 11: Sustainable Cities and Communities,,,,,,Cities,Building resilient cities,Big Data Machine Learning,B2B,Developed Markets,,Nascent,No,Unfunded,Not Applicable,,,,Finland,Helsinki,2014,14,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Ampd Energy,Commercial grid connected Energy Storage system developers,"Ampd Energy is a developer of grid connected commercial ESS units which are used as replacement batteries for UPS systems. The company claims that the Ampd Silo is designed to fit into existing power backup space configurations. Two Silos fit into a 19″ 42U rack space, removing any need for structural changes leading to savings of up to 80 per cent of office or building space.",ampd.energy,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,China,Go-to-market,Emerging,,,,N/A,,Upper middle income,China,,2014,16,,,,,,Tracxn,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0.5,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Ampyx Power,Develops aircraft products that will generate cheaper and more efficient energy,,https://www.ampyxpower.com/,SDG 7: Affordable and Clean Energy,,n/a,,,Indirect,energy,,,,,,Emerging,Yes,Series A,"2,100,000",,May/2017,,Netherlands,,2008,66,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
AmpyxPower,Airborne Wind Energy System,Ampyx Power is developing an Airborne Wind Energy System (AWES) with an airplane on a cable that converts wind into electricity at a higher altitude.,ampyxpower.com,SDG 7: Affordable and Clean Energy,,7.2 Energy Sources,,,,,,,,Netherlands,Growth,Emerging,Yes,Series A,"3,110,000",3-10M,,High income,Netherlands,,2008,66,,,,,,Dutch Database,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
AMS-Qi,"AMS-Qi improves electricity generation. We enable more efficient coal & biofuel burn, reduced boiler outage & reduced pollutant emission.","Fouling - deposition of ash on surfaces of boilers affects coal and biofuel powered power plants. Deposits reduce energy transfer from the combustion fuel to heated water and steam. In a typical base load boiler losses due to fouling top 5%, $25 million annually. Today there is no fouling sensing technology to direct cleaning of the boiler, driving up maintenance costs and inefficiencies. Our technology can directly measure the fouling buildup and create a close loop to optimize cleaning.",http://www.ams-qi.com/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,United States of America,Unknown,Emerging,,,,N/A,,High income,USA,,2013,3,,,,,,MassChallenge,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Angaza Design,Innovative Technology to reshape the Energy Markets.,Angaza s Pay As You Go solution enables businesses to extend flexible solar payment plans to the billion individuals without access to grid electricity. Our platform allows manufacturers and distributors of off grid energy products to expand their customer base and access data driven market insights. Angaza s partners can launch their Pay As You Go program today without the investment of building and operating the necessary technology. Through a licensing model Angaza offers a complete Pay As You Go platform that redefines how off grid energy products are purchased financed and monitored in emerging markets. This presents an opportunity for over one billion people to purchase solar products for less than they currently spend on inferior energy options like burning kerosene. Angaza s Pay As You Go technology is suitable for a variety of products ranging from 1/2 watt solar study lights to 200 watt solar home systems as well as electronic clean cookstoves micro grid meters and solar water pumps. Angaza's Pay As You Go technology is used by manufacturers and distributors in 15 countries across Sub Saharan Africa Asia and Latin America.,http://www.angazadesign.com/in-the-news/,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,United States of America,Growth,Emerging,Yes,Series A,"4,000,000",3-10M,,High income,USA,,2010,Unknown,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,1,0.33,1,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
ant studio,low-energy natural cooling,"using a technique from the egyptian era, ant studio has created an evaporative cooling system that is both low energy and cost efficient. during the summer in india, factory workers suffer from intolerable workplace temperatures of up to 50°c, resulting in both social and economic productivity losses. to lower the temperature, ant studio has created an eco-friendly cooling installation that is both a sustainable and inexpensive alternative to electric ac, using earthen cones and water as the main components. by stacking the cones, a large surface area for cooling is created. the design then uses the air velocity from factory generators to facilitate the evaporative cooling, lowering the temperature by 6-8 degrees celsius. this solution was featured in keeping it cool market of the 2018 global opportunity report , and was selected based on the criteria of that report.",https://goexplorer.org/low-energy-natural-cooling/,SDG 7: Affordable and Clean Energy,,7.4 Energy Enablers,,,,,,,,india,Growth,Emerging,,,,N/A,,Lower middle income,india,,2012,11,,,,,,Sustainia,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,0,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Aerial Intelligence,Big data analytics platform for farm insights,"Aerial Intelligence is a big data analytics platform that captures farm data from satellite imagery, aerial imagery, weather stations, etc. and converts it into actionable, macro-level insights for decision making for agribusinesses.",aerialintel.com,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,United States of America,Go-to-market,Nascent,Yes,Seed,Undisclosed,N/A,,High income,USA,,2015,3,,,,X,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Almenr,Almenr har sat sig for at innovere landsbyen! Vi skaber fællesskaber omkring boligen og nytænker måden; vi skaber boligfællesskaber på. Vi kalder det Landsby 2.0 og vores motto er ”Mere. Sammen”. - Vores vision er at skabe et menneskeligt samfund i landsbyskala – med langt flere boligfællesskaber i alle former – et mere mangfoldigt; bæredygtigt og socialt ejendomsmarked på beboernes betingelser. - Og vi gør det via en international; kooperativ platform; der med moderne værktøjer hjælper med at skabe fællesskaber og vil revolutionere finansieringen af boliger.,,https://www.almenr.dk/,SDG 11: Sustainable Cities and Communities,,,,,,Cities,Affordable housing,New Social enterprise models,B2C,Developed Markets,,Nascent,No,Unfunded,Not Applicable,,,,Denmark,Copenhagen,2017,1,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Aflore,Helping person achieve their goals with credit.,Aflore is a network of financial advisors based on trust. Treating everyone as a friend and helping them realize their financial goals.,http://www.aflore.co/,SDG 1: No Poverty,,1.1 Mobile connectivity for financial inclusion,,,,,,,,Colombia,Unknown,Nascent,Yes,Series B,"9,200,000",N/A,,Upper middle income,Colombia,,2013,56,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,0.5,0.33,0.5,0.398,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Afluenta,Making money is more human.,Afluenta is an online community that helps its members earn better returns for the money banking alternative available.,https://www.afluenta.com/,SDG 1: No Poverty,,1.1 Mobile connectivity for financial inclusion,,,,,,,,Americas,Unknown,Emerging,Yes,Series B,"10,000,000",N/A,,Upper middle income,Argentina,,2008,74,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Africa Exchange Holdings (AFEX),Commodity Exchanges.,Africa Exchange Holdings Ltd. (AFEX) is a holding company established by Berggruen Holdings Heirs Holdings and 50 Ventures to establish equity and commodity markets across East and West Africa. Its goal is to create better access to agricultural and financial markets for smallholder farmers enabling them to sell their products at fair and competitive prices and gain access to financing opportunities.,http://www.africaexchange.com/,SDG 2: Zero Hunger,,2.2 Digital technologies for Smallholder Farmers,,,,,,,,United States of America,Unknown,Nascent,No,Unfunded,Not Applicable,N/A,,High income,USA,,2013,1,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Africa Youth for SDGs,"Africa Youth For SDGs is a network of individuals and organizations concerned with ensuring that youth in Africa participate in the universal goals IN ORDER TO MEET URGENT SOCIAL, ECONOMIC AND ENVIRONTMENTAL CHALLENGES FACING AFRICA.","We seek to solve the issue of lack of awareness and action on SDGs by ensuring knowledge skills and attitude in Mainstreaming, Accelerating, contributing and supporting policy processes through innovation, implementation and scaling of ideas. ",http://www.africayouthforsdgs.com/,SDG 17: Partnerships for the Goals,,,,,,,,,,,,Nascent,No,Unfunded,Not Applicable,,,,Kenya,,2016,5,,,,,,https://1millionstartups.com/search-front.php,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
anton energy,"we offer a wide range of products that are specially designed to ensure a high degree of mobility, as opposed to conventional renewable energy solutions that are usually characterized by being stationary, permanent facilities.","we are a leading innovator, developing clean energy solutions for off-grid applications. at anton energy we work hard to deliver innovative renewable energy solutions that meet rising global demands, tailored to suit our customers individual needs. we produce 100% solar powered generators, hybrid power generators, microgrids and power systems for the off-grid market, energy storage systems and turnkey solutions for temporary energy needs. we specialize in the areas of mobile renewable electricity and stationary solutions for remote and harsh environments.",http://anton.energy/,SDG 7: Affordable and Clean Energy,,7.1 Energy Access Solutions,,,,,,,,Denmark,Unknown,Emerging,,,,N/A,,High income,Denmark,,2015,Unknown,,,,,,Impact Business Index,FALSE,FALSE,,FALSE,FALSE,,0.5,0.66,1,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Afriscanlink,We help businesses realize their mission in African markets.,"Business consulting company that serves Scandinavian companies who are interested in doing business in African markets, from entry strategy to on-the-ground operations",http://afriscanlink.com,SDG 8: Decent Work and Economic Growth,#17#10,,,,,,,Lean Service Models,B2B,Developed Markets,,Nascent,No,Unfunded,Not Applicable,,,,Denmark,Copenhagen,2014,2,,,,,,,TRUE,FALSE,,FALSE,FALSE,,0.5,0,0,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Aqua.abib,Home,,http://www.aqua-abib.com,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,energy,,,,,,Emerging,Yes,Series A,"1,300,000",,Jul/2016,,,,,2,,,,,,,FALSE,FALSE,,FALSE,FALSE,,1,0.33,0,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
Ag Business & Crop,Farm data collection and analytics services for precision agriculture,"Ag Business &amp; Crop Inc. provides consultation / precision agriculture planning and services. Its primary services include field mapping, UAV scouting, soil sampling and geotagging, soil testing, generation of prescriptions for seed plantation, variable rate application of water and fertilzers, etc. It also has a retail and distribution division through which it sells precision agriculture hardware and equipment including drones, soil samplers, etc. It is an authorized dealer for senseFly and Wintex.",agbusiness.ca,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,Canada,Go-to-market,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Canada,,2002,6,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,1,0,0,0.4,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Ag Logic,Precision agriculture solutions provider,"Ag Logic provides precision agriculture solutions. It provides farm mapping solutions and provides variable rate fertilizer application plans and drain layouts. Also, offers frost and climate mapping solutions, irrigation consulting services, soil assessment, and topography measurement services.",aglogic.com.au,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,Australia,Go-to-market,Mature,Yes,Acquired,Undisclosed,N/A,,High income,Australia,,2010,2,,,,X,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,1,0.66,0,0.796,Mature,,,,0,,,,,,,,,,,,,,,,,,,,,
AgAerial Images,Provider of farm mapping and soil testing services,"AgAerial Images provides farm mapping and soil testing services. It offers geo-referenced NDVI, NDRE, RGB, and thermal maps collected by UAVs for agriculture growers and agronomists. Also, collects soil and tissue samples to analyse and recommend variable rates of seeds, fertilizers, and chemicals.",agaerialimages.com.au,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,Australia,Go-to-market,Nascent,No,Unfunded,Not Applicable,N/A,,High income,Australia,,2016,Unknown,,,,,,Tracxn,TRUE,FALSE,,FALSE,FALSE,,0.5,0,1,0.2,Nascent,,,,0,,,,,,,,,,,,,,,,,,,,,
Aquaporin,Products to purify water and desalinate seawater,,http://aquaporin.dk,SDG 7: Affordable and Clean Energy,,n/a,,,Direct,health;energy,,,,,,Emerging,Yes,Series A,"6,760,000",,Jan/2017,,Denmark,,2005,96,,,,,,,TRUE,FALSE,,FALSE,FALSE,,1,0.33,0.5,0.598,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
AgBiome,Crop Microbiome Biotech Company.,AgBiome is redefining agriculture. They are an early stage provider of research and discovery of innovative crop solutions. Agriculture is the world s largest and most important industry. With ever growing numbers of mouths to feed decreasing land to farm and around 30% loss of yield to disease and pests the need for innovative products is essential. The plant microbiome is a complex naturally occurring community of billions of microbes essential to life. By taking advantage of the untapped benefits of these organisms AgBiome is discovering new solutions that work symbiotically with a plant resulting in robust and sustainable crops.,http://www.agbiome.com/,SDG 2: Zero Hunger,,2.1 AgTech for Sustainable Farming,,,,,,,,United States of America,Growth,Emerging,Yes,Series C,"136,500,000",>20M,,High income,USA,,2012,94,,,,,,ImpactSpace,TRUE,FALSE,,FALSE,FALSE,,0.5,0.66,0.5,0.596,Emerging,,,,0,,,,,,,,,,,,,,,,,,,,,
